grid_id_consolidated,pub_id
grid.418140.8,8e4babdc
NA,8e4babdc
not_in_grid,8e4babdc
grid.418928.e,8e4babdc
grid.419547.a,8e4babdc
grid.7450.6,1a0ff268
grid.21940.3e,1a0ff268
grid.12380.38,1a0ff268
grid.411984.1,2b3871c6
grid.411984.1,2b3871c6
grid.7177.6,2b3871c6
grid.418140.8,2b3871c6
grid.411984.1,c48e41a4
grid.411984.1,c48e41a4
grid.9026.d,c48e41a4
grid.5949.1,c48e41a4
grid.419522.9,c48e41a4
grid.411984.1,c48e41a4
grid.418140.8,c48e41a4
grid.169077.e,c48e41a4
grid.418140.8,c48e41a4
grid.411984.1,c48e41a4
grid.5252.0,f783c0b3
grid.5252.0,f783c0b3
grid.411984.1,a23d24dd
grid.411984.1,a23d24dd
NA,a23d24dd
grid.412301.5,a23d24dd
grid.418140.8,c7cf09d3
grid.418140.8,fb6d92ad
grid.7450.6,fb6d92ad
grid.4991.5,fb6d92ad
grid.7450.6,b79df8dd
grid.7450.6,b79df8dd
grid.419522.9,360e0f3
grid.12136.37,360e0f3
grid.418140.8,360e0f3
grid.255178.c,360e0f3
grid.7450.6,360e0f3
grid.12136.37,360e0f3
grid.418140.8,40372f3c
grid.7450.6,40372f3c
NA,40372f3c
grid.7450.6,36df2f5d
grid.5361.1,36df2f5d
grid.411327.2,36df2f5d
grid.22937.3d,36df2f5d
not_in_grid,36df2f5d
grid.5361.1,36df2f5d
grid.5253.1,33d67258
grid.11749.3a,33d67258
grid.10423.34,33d67258
grid.7450.6,33d67258
NA,33d67258
grid.7450.6,33d67258
grid.416312.3,33d67258
grid.11749.3a,33d67258
grid.11749.3a,33d67258
grid.13648.38,33d67258
grid.13648.38,33d67258
grid.7450.6,33d67258
grid.7450.6,714ff6d5
NA,714ff6d5
NA,714ff6d5
grid.418140.8,714ff6d5
grid.421962.a,714ff6d5
grid.10388.32,714ff6d5
grid.7450.6,742ba132
grid.7450.6,742ba132
grid.7450.6,742ba132
grid.418457.b,742ba132
grid.10423.34,742ba132
NA,742ba132
grid.411984.1,5792380e
grid.411984.1,5792380e
grid.411984.1,5792380e
grid.411984.1,5792380e
grid.411984.1,6c3a9f45
NA,6c3a9f45
grid.7683.a,5f21de7f
grid.9026.d,5f21de7f
grid.9026.d,5f21de7f
grid.434729.f,5f21de7f
grid.7700.0,5f21de7f
grid.7892.4,5f21de7f
grid.445003.6,5f21de7f
grid.47840.3f,5f21de7f
grid.7450.6,5f21de7f
NA,5f21de7f
grid.411984.1,7f9050c4
NA,7f9050c4
grid.419522.9,e5a48728
NA,e5a48728
grid.418215.b,e5a48728
grid.419522.9,e5a48728
grid.428999.7,e5a48728
grid.464059.a,e5a48728
grid.411984.1,bb4383b7
grid.411984.1,bb4383b7
grid.411984.1,bb4383b7
grid.7450.6,bb4383b7
grid.454401.0,bb4383b7
grid.418723.b,bb4383b7
grid.7450.6,bb4383b7
grid.11843.3f,1baa43e8
grid.418140.8,1baa43e8
grid.418140.8,a56a05d2
NA,a56a05d2
grid.5718.b,792099be
grid.7450.6,792099be
NA,792099be
grid.419522.9,d238aa46
grid.5802.f,d238aa46
grid.7450.6,d238aa46
grid.5802.f,d238aa46
grid.411789.2,d238aa46
grid.8756.c,d238aa46
grid.411984.1,f8e11405
grid.8756.c,37e0f59c
grid.418140.8,37e0f59c
NA,37e0f59c
grid.214458.e,37e0f59c
grid.7700.0,37e0f59c
